absolute_time_s,absolute_time_h,cycle2_elapsed_h,gross_injection_rate_m3_s,gross_injection_rate_m3_h,cycle2_cumulative_injection_m3
1659850.000000000,461.069444444,221.069444444,2.157342650105e-03,7.766433540,2088.593107201
1663450.000000000,462.069444444,222.069444444,2.156747683896e-03,7.764291662,2096.358469802
1667050.000000000,463.069444444,223.069444444,2.156173479827e-03,7.762224527,2104.121727897
1670650.000000000,464.069444444,224.069444444,2.155613009387e-03,7.760206834,2111.882943577
1674250.000000000,465.069444444,225.069444444,2.155060887728e-03,7.758219196,2119.642156592
1677850.000000000,466.069444444,226.069444444,2.154526142197e-03,7.756294112,2127.399413246
1681450.000000000,467.069444444,227.069444444,2.153997878785e-03,7.754392364,2135.154756484
1685050.000000000,468.069444444,228.069444444,2.153483453722e-03,7.752540433,2142.908222882
1688650.000000000,469.069444444,229.069444444,2.152978975702e-03,7.750724313,2150.659855255
1692250.000000000,470.069444444,230.069444444,2.152474916118e-03,7.748909698,2158.409672261
1695850.000000000,471.069444444,231.069444444,2.152006951516e-03,7.747225025,2166.157739622
1699450.000000000,472.069444444,232.069444444,2.151539034235e-03,7.745540523,2173.904122397
1703050.000000000,473.069444444,233.069444444,2.151082245041e-03,7.743896082,2181.648840699
1706650.000000000,474.069444444,234.069444444,2.150639558316e-03,7.742302410,2189.391939945
1710250.000000000,475.069444444,235.069444444,2.150202644368e-03,7.740729520,2197.133455910
1713850.000000000,476.069444444,236.069444444,2.149780210199e-03,7.739208757,2204.873425048
1717450.000000000,477.069444444,237.069444444,2.149367817203e-03,7.737724142,2212.611891498
1721050.000000000,478.069444444,238.069444444,2.148957276928e-03,7.736246197,2220.348876667
1724650.000000000,479.069444444,239.069444444,2.148559681944e-03,7.734814855,2228.084407193
1728000.000000000,480.000000000,240.000000000,2.148204167307e-03,7.733535002,2235.281486641
