time_s,time_h,gross_injection_rate_m3_s,gross_injection_rate_m3_h,cumulative_gross_injection_m3
784872.000000000,218.020000000,2.683231009601e-03,9.659631635,4221.463515823
788472.000000000,219.020000000,2.665951464792e-03,9.597425273,4231.092044277
792072.000000000,220.020000000,2.649967756622e-03,9.539883924,4240.660698875
795672.000000000,221.020000000,2.634131039003e-03,9.482871740,4250.172076707
799272.000000000,222.020000000,2.617689548476e-03,9.423682375,4259.625353765
802872.000000000,223.020000000,2.600338866581e-03,9.361219920,4269.017804912
806472.000000000,224.020000000,2.583463719068e-03,9.300469389,4278.348649566
810072.000000000,225.020000000,2.565521685895e-03,9.235878069,4287.616823295
813672.000000000,226.020000000,2.548327672905e-03,9.173979622,4296.821752141
817272.000000000,227.020000000,2.531584950622e-03,9.113705822,4305.965594863
820872.000000000,228.020000000,2.514595068368e-03,9.052542246,4315.048718897
824472.000000000,229.020000000,2.498951046010e-03,8.996223766,4324.073101903
828072.000000000,230.020000000,2.483742202800e-03,8.941471930,4333.041949751
831672.000000000,231.020000000,2.467941663908e-03,8.884589990,4341.954980711
835272.000000000,232.020000000,2.453200591239e-03,8.831522128,4350.813036770
838872.000000000,233.020000000,2.439855923487e-03,8.783481325,4359.620538497
842472.000000000,234.020000000,2.427555976382e-03,8.739201515,4368.381879917
846072.000000000,235.020000000,2.415852742692e-03,8.697069874,4377.100015611
849672.000000000,236.020000000,2.404482441410e-03,8.656136789,4385.776618942
853272.000000000,237.020000000,2.393611222817e-03,8.617000402,4394.413187538
856872.000000000,238.020000000,2.384463548101e-03,8.584068773,4403.013722126
860472.000000000,239.020000000,2.374387598021e-03,8.547795353,4411.579654189
864000.000000000,240.000000000,2.365430448805e-03,8.515549616,4419.940693223
