absolute_time_h,gross_injection_rate_m3_h,cycle_cumulative_injection_m3
1038.849999999928,37.630390605,2925.929904570
1038.899999999928,37.629773321,2927.811408668
1038.949999999928,37.629156037,2929.692881902
1038.999999999928,37.628538753,2931.574324272
1039.025000000000,37.628230111,2932.515033885
1039.049999999928,37.627923787,2933.455735806
1039.099999999928,37.627311138,2935.337116680
1039.149999999928,37.626698489,2937.218466920
1039.199999999928,37.626085841,2939.099786528
1039.249999999928,37.625473192,2940.981075504
1039.299999999928,37.624860543,2942.862333848
1039.349999999928,37.624247894,2944.743561559
1039.399999999928,37.623635245,2946.624758637
1039.449999999928,37.623022597,2948.505925083
1039.499999999928,37.622409948,2950.387060897
1039.549999999928,37.621797299,2952.268166078
1039.599999999928,37.621184650,2954.149240627
1039.649999999928,37.620572002,2956.030284543
1039.699999999928,37.619959353,2957.911297827
1039.749999999928,37.619346704,2959.792280478
1039.799999999927,37.618734055,2961.673232497
1039.849999999927,37.618121406,2963.554153884
1039.899999999927,37.617508758,2965.435044638
1039.949999999927,37.616896109,2967.315904759
1039.999999999927,37.616283460,2969.196734249
1040.025000000000,37.615977136,2970.137137509
1040.049999999927,37.615632187,2971.077532623
1040.099999999927,37.614942291,2972.958296985
1040.149999999927,37.614252394,2974.839026852
1040.199999999927,37.613562498,2976.719722224
1040.249999999927,37.612872601,2978.600383102
1040.299999999927,37.612182704,2980.481009484
1040.349999999927,37.611492808,2982.361601372
1040.399999999927,37.610802911,2984.242158765
1040.449999999927,37.610113014,2986.122681663
1040.499999999927,37.609423118,2988.003170066
1040.549999999927,37.608733221,2989.883623975
1040.599999999927,37.608043324,2991.764043388
1040.649999999927,37.607353428,2993.644428307
1040.699999999927,37.606663531,2995.524778731
1040.749999999926,37.605973634,2997.405094660
1040.799999999926,37.605283738,2999.285376095
1040.849999999926,37.604593841,3001.165623034
1040.899999999926,37.603903945,3003.045835479
1040.949999999926,37.603214048,3004.926013429
1040.999999999926,37.602524151,3006.806156884
1041.025000000000,37.602179203,3007.746215678
1041.049999999926,37.601844998,3008.686265978
1041.099999999926,37.601176587,3010.566341518
1041.149999999926,37.600508176,3012.446383637
1041.199999999926,37.599839766,3014.326392335
1041.249999999926,37.599171355,3016.206367613
1041.299999999926,37.598502944,3018.086309471
1041.349999999926,37.597834533,3019.966217908
1041.399999999926,37.597166123,3021.846092924
1041.449999999926,37.596497712,3023.725934520
1041.499999999926,37.595829301,3025.605742695
1041.549999999926,37.595160891,3027.485517450
1041.599999999926,37.594492480,3029.365258784
1041.649999999926,37.593824069,3031.244966698
1041.699999999926,37.593155659,3033.124641191
1041.749999999926,37.592487248,3035.004282264
1041.799999999926,37.591818837,3036.883889916
1041.849999999926,37.591150427,3038.763464148
1041.899999999926,37.590482016,3040.643004959
1041.949999999926,37.589813605,3042.522512349
1041.999999999925,37.589145195,3044.401986319
1042.025000000000,37.588810989,3045.341710774
1042.049999999925,37.588471076,3046.281426797
1042.099999999925,37.587791249,3048.160833355
1042.149999999925,37.587111422,3050.040205922
1042.199999999925,37.586431595,3051.919544498
1042.249999999925,37.585751768,3053.798849082
1042.299999999925,37.585071942,3055.678119674
1042.349999999925,37.584392115,3057.557356276
1042.399999999925,37.583712288,3059.436558886
1042.449999999925,37.583032461,3061.315727505
1042.499999999925,37.582352634,3063.194862132
1042.549999999925,37.581672807,3065.073962768
1042.599999999925,37.580992980,3066.953029413
1042.649999999925,37.580313154,3068.832062066
1042.699999999925,37.579633327,3070.711060728
1042.749999999925,37.578953500,3072.590025399
1042.799999999925,37.578273673,3074.468956078
1042.849999999925,37.577593846,3076.347852766
1042.899999999925,37.576914019,3078.226715463
1042.949999999924,37.576234193,3080.105544168
1042.999999999924,37.575554366,3081.984338882
1043.025000000000,37.575214452,3082.923723495
1043.049999999924,37.574838905,3083.863099159
1043.099999999924,37.574087811,3085.741822327
1043.149999999924,37.573336716,3087.620507940
1043.199999999924,37.572585622,3089.499155999
1043.249999999924,37.571834527,3091.377766502
1043.299999999924,37.571083433,3093.256339451
1043.349999999924,37.570332338,3095.134874846
1043.399999999924,37.569581244,3097.013372685
1043.449999999924,37.568830150,3098.891832970
1043.499999999924,37.568079055,3100.770255700
1043.549999999924,37.567327961,3102.648640876
1043.599999999924,37.566576866,3104.526988496
1043.649999999924,37.565825772,3106.405298562
1043.699999999924,37.565074677,3108.283571073
1043.749999999924,37.564323583,3110.161806030
1043.799999999924,37.563572488,3112.040003432
1043.849999999924,37.562821394,3113.918163279
1043.899999999924,37.562070300,3115.796285571
1043.949999999924,37.561319205,3117.674370309
1043.999999999924,37.560568111,3119.552417492
1044.025000000000,37.560192563,3120.491427003
1044.049999999924,37.559844401,3121.430427462
1044.099999999924,37.559148075,3123.308402274
1044.149999999924,37.558451750,3125.186342270
1044.199999999923,37.557755424,3127.064247449
1044.249999999923,37.557059098,3128.942117812
1044.299999999923,37.556362773,3130.819953359
1044.349999999923,37.555666447,3132.697754089
1044.399999999923,37.554970122,3134.575520003
1044.449999999923,37.554273796,3136.453251101
1044.499999999923,37.553577471,3138.330947383
1044.549999999923,37.552881145,3140.208608848
1044.599999999923,37.552184819,3142.086235498
1044.649999999923,37.551488494,3143.963827330
1044.699999999923,37.550792168,3145.841384347
1044.749999999923,37.550095843,3147.718906547
1044.799999999923,37.549399517,3149.596393931
1044.849999999923,37.548703192,3151.473846499
1044.899999999923,37.548006866,3153.351264250
1044.949999999923,37.547310540,3155.228647186
1044.999999999923,37.546614215,3157.105995304
1045.025000000000,37.546266052,3158.044656311
1045.049999999923,37.545884894,3158.983308195
1045.099999999923,37.545122578,3160.860583381
1045.149999999922,37.544360262,3162.737820452
1045.199999999922,37.543597946,3164.615019408
1045.249999999922,37.542835630,3166.492180247
1045.299999999922,37.542073313,3168.369302970
1045.349999999922,37.541310997,3170.246387578
1045.399999999922,37.540548681,3172.123434070
1045.449999999922,37.539786365,3174.000442446
1045.499999999922,37.539024049,3175.877412707
1045.549999999922,37.538261733,3177.754344851
1045.599999999922,37.537499417,3179.631238880
1045.649999999922,37.536737101,3181.508094793
1045.699999999922,37.535974785,3183.384912590
1045.749999999922,37.535212468,3185.261692271
1045.799999999922,37.534450152,3187.138433837
1045.849999999922,37.533687836,3189.015137287
1045.899999999922,37.532925520,3190.891802621
1045.949999999922,37.532163204,3192.768429839
1045.999999999922,37.531400888,3194.645018941
1046.025000000000,37.531019730,3195.583299202
1046.049999999922,37.530618484,3196.521569676
1046.099999999922,37.529815992,3198.398080538
1046.149999999922,37.529013500,3200.274551276
1046.199999999922,37.528211008,3202.150981888
1046.249999999922,37.527408516,3204.027372376
1046.299999999922,37.526606024,3205.903722740
1046.349999999922,37.525803533,3207.780032979
1046.399999999921,37.525001041,3209.656303093
1046.449999999921,37.524198549,3211.532533083
1046.499999999921,37.523396057,3213.408722948
1046.549999999921,37.522593565,3215.284872689
1046.599999999921,37.521791073,3217.160982305
1046.649999999921,37.520988581,3219.037051796
1046.699999999921,37.520186089,3220.913081163
1046.749999999921,37.519383597,3222.789070405
1046.799999999921,37.518581106,3224.665019522
1046.849999999921,37.517778614,3226.540928515
1046.899999999921,37.516976122,3228.416797384
1046.949999999921,37.516173630,3230.292626128
1046.999999999921,37.515371138,3232.168414747
